jb,0
jc,0
jd,1
je,210
jf,0
jg,0
jh,1
ji,34
jj,0
jk,0
jl,0
jm,0
jn,0
jo,228
jp,1
jq,0
jr,0
js,0
jt,0
ju,340
jv,0
jw,0
jx,0
jy,0
jz,0
ka,312
kb,49
kc,13
kd,12
ke,1332
kf,37
kg,5
kh,48
ki,689
kj,3
kk,7
kl,247
km,46
kn,223
ko,108
kp,12
kq,0
kr,55
ks,133
kt,19
ku,50
kv,0
kw,60
kx,0
ky,165
kz,0
la,5346
lb,141
lc,290
ld,556
le,8587
lf,398
lg,146
lh,49
li,6083
lj,1
lk,164
ll,3349
lm,325
ln,199
lo,3831
lp,306
lq,5
lr,37
ls,240
lt,856
lu,1543
lv,284
lw,62
lx,2
ly,1095
lz,8
ma,3845
mb,1041
mc,16
md,12
me,4211
mf,64
mg,9
mh,9
mi,3145
mj,5
mk,5
ml,71
mm,732
mn,211
mo,2613
mp,1656
mq,2
mr,23
ms,122
mt,16
mu,868
mv,26
mw,13
mx,0
my,461
mz,2
na,3408
nb,190
nc,3283
nd,3205
ne,6409
nf,568
ng,4273
nh,209
ni,3726
nj,88
nk,457
nl,258
nm,155
nn,806
no,2529
np,165
nq,113
nr,174
ns,1871
nt,6829
nu,748
nv,319
nw,142
nx,28
ny,484
nz,56
oa,646
ob,839
oc,1858
od,1529
oe,362
of,331
og,1952
oh,148
oi,1113
oj,17
ok,374
ol,3546
om,3102
on,9787
oo,1706
op,2406
oq,96
or,6693
os,2683
ot,2390
ou,4911
ov,1038
ow,1192
ox,353
oy,214
oz,118
pa,2566
pb,42
pc,20
pd,11
pe,3713
pf,29
pg,12
ph,2709
pi,2145
pj,3
pk,9
pl,1574
pm,36
pn,88
po,2628
pp,781
pq,0
pr,2570
ps,438
pt,937
pu,904
pv,0
pw,31
px,0
py,397
pz,0
qa,0
qb,0
qc,0
qd,0
qe,0
qf,0
qg,0
qh,0
qi,0
qj,0
qk,0
ql,0
qm,0
qn,0
qo,0
qp,0
qq,0
qr,0
qs,0
qt,0
qu,1438
qv,0
qw,0
qx,0
qy,2
qz,0
ra,7254
rb,621
rc,1150
rd,1319
re,8349
rf,287
rg,676
rh,344
ri,6582
rj,29
rk,439
rl,570
rm,1554
rn,1080
ro,6056
rp,700
rq,43
rr,1233
rs,1239
rt,2029
ru,1421
rv,402
rw,192
rx,1
ry,2383
rz,21
sa,2014
sb,109
sc,2131
sd,66
se,4383
sf,102
sg,74
sh,2610
si,3443
sj,15
sk,362
sl,509
sm,1567
sn,355
so,1813
sp,1933
sq,197
sr,68
ss,4765
st,6827
su,2033
sv,19
sw,350
sx,0
sy,558
sz,1
ta,4370
tb,100
tc,364
td,19
te,10413
tf,166
tg,37
th,3311
ti,9774
tj,7
tk,8
tl,601
tm,180
tn,168
to,3857
tp,50
tq,4
tr,4271
ts,210
tt,1242
tu,1856
tv,9
tw,253
tx,1
ty,2187
tz,50
ua,954
ub,1042
uc,1052
ud,717
ue,863
uf,231
ug,603
uh,22
ui,937
uj,6
uk,60
ul,3275
um,2082
un,3416
uo,238
up,931
uq,5
ur,3263
us,4908
ut,1797
uu,9
uv,90
uw,7
ux,94
uy,45
uz,48
va,1111
vb,1
vc,0
vd,0
ve,3906
vf,0
vg,0
vh,0
vi,1453
vj,0
vk,0
vl,1
vm,0
vn,2
vo,592
vp,0
vq,0
vr,22
vs,0
vt,0
vu,116
vv,2
vw,0
vx,0
vy,48
vz,0
wa,1225
wb,59
wc,11
wd,57
we,876
wf,37
wg,8
wh,451
wi,799
wj,0
wk,42
wl,151
wm,26
wn,239
wo,839
wp,15
wq,1
wr,196
ws,78
wt,42
wu,13
wv,2
ww,19
wx,0
wy,47
wz,4
xa,252
xb,9
xc,165
xd,3
xe,153
xf,8
xg,3
xh,47
xi,386
xj,1
xk,1
xl,14
xm,4
xn,5
xo,114
xp,218
xq,5
xr,4
xs,38
xt,281
xu,68
xv,0
xw,6
xx,0
xy,158
xz,0
ya,342
yb,80
yc,274
yd,244
ye,373
yf,40
yg,177
yh,43
yi,131
yj,1
yk,15
yl,708
ym,435
yn,399
yo,270
yp,491
yq,1
yr,390
ys,469
yt,300
yu,22
yv,7
yw,51
yx,38
yy,1
yz,29
za,411
zb,0
zc,2
zd,3
ze,1073
zf,0
zg,1
zh,0
zi,174
zj,0
zk,0
zl,45
zm,1
zn,0
zo,272
zp,0
zq,1
zr,0
zs,2
zt,1
zu,22
zv,1
zw,2
zx,0
zy,74
zz,89
